Uncurated-gene-id	Uncurated-gene-uniprot-id	Uncurated-gene-synonims	Biocyc-gene-sinomys	Pathway-Biocyc-label	Pathway-Biocyc-id	Reaction-Biocyc-label	Reaction-Biocyc-id	EV-COMP-HINF-SEQ-ORTHOLOGY	EV-EXP-IDA-UNPURIFIED-PROTEIN-NH	EV-EXP-IDA-PART-PURIFIED-PROTEIN-HH	EV-EXP-TAS	EV-EXP-IDA-PURIFIED-PROTEIN	EV-AS-TAS	EV-EXP-IDA-PURIFIED-PROTEIN-NH	EV-COMP-HINF-ORTHOLOGY-EXP	EV-EXP-IDA-PURIFIED-PROTEIN-HH	EV-COMP-HINF-FN-FROM-SEQ	EV-COMP-AINF	EV-EXP-IDA-UNPURIFIED-PROTEIN	EV-EXP-IMP	EV-EXP-IMP-REACTION-ENHANCED	EV-EXP-IMP-REACTION-BLOCKED	EV-EXP-IDA-PART-PURIFIED-PROTEIN-NH	EV-EXP-IPI	EV-EXP-IGI-FUNC-COMPLEMENTATION	EV-EXP-IDA	EV-EXP-IDA-UNPURIFIED-PROTEIN-HH
HCLS1	P14317	['HCLS1', 'HS1']	['YWHAB', '14-3-3 beta', 'KCIP-1', 'HS1']	MAP kinase cascade	PWY66-14	RXN66-55,PROTEIN-KINASE-RXN	RXN66-55,PROTEIN-KINASE-RXN																				
COX7A2	P14406	['COX7A2', 'COX7AL']	['COX7A2', 'COX7AL']			CYTOCHROME-C-OXIDASE-RXN	CYTOCHROME-C-OXIDASE-RXN																				
INSRR	P14616	['INSRR', 'IRR']	['INSRR', 'IRR']			2.7.10.1-RXN	2.7.10.1-RXN																				
ACYP2	P14621	['ACYP2', 'ACYP']	['ACYP2', 'ACYP']			ACYLPHOSPHATASE-RXN	ACYLPHOSPHATASE-RXN																				
CPA1	P15085	['CPA1', 'CPA']	['CPA1', 'CPA']			GLY-X-CARBOXYPEPTIDASE-RXN,CARBOXYPEPTIDASE-A-RXN	GLY-X-CARBOXYPEPTIDASE-RXN,CARBOXYPEPTIDASE-A-RXN																				
LPO	P22079	['LPO', 'SAPX']	['LPO', 'SAPX']			RXN-8635,PEROXID-RXN	RXN-8635,PEROXID-RXN																				
ME2	P23368	['ME2']	['ME2']			MALIC-NADP-RXN,1.1.1.39-RXN	MALIC-NADP-RXN,1.1.1.39-RXN																				
NAGA	P17050	['NAGA']	['NAGA', 'D22S674', 'GALB']			3.2.1.49-RXN	3.2.1.49-RXN							3.2.1.49-RXN													
SON	P18583	['SON', 'C21orf50', 'DBP5', 'KIAA1019', 'NREBP', 'HSPC310', 'HSPC312']	['DDX19B', 'DBP5', 'DDX19']			RXN-11109	RXN-11109																				
PAM	P19021	['PAM']	['PAM', 'PHM', 'PAL']			PEPTIDYLAMIDOGLYCOLATE-LYASE-RXN,PEPTIDYLGLYCINE-MONOOXYGENASE-RXN	PEPTIDYLAMIDOGLYCOLATE-LYASE-RXN,PEPTIDYLGLYCINE-MONOOXYGENASE-RXN																				
FUT1	P19526	['FUT1', 'H', 'HSC']	['FUT1', 'H', 'HSC']	super pathway of glycosphingolipids biosynthesis,globo-series glycosphingolipids biosynthesis,biosynthesis of ABH and Lewis epitopes from type 2 precursor disaccharide	PWY-7835,PWY-7838,PWY-7831	RXN-18300,RXN-18235	RXN-18300,RXN-18235																	RXN-18300			RXN-18235
PON1	P27169	['PON1', 'PON']	['PON1', 'PON']			Simvastatin hydrolysis,ARYLESTERASE-RXN,ARYLDIALKYLPHOSPHATASE-RXN,Aminoparathion hydrolase,ARYLDIALKYL-PHOSPHATASE-RXN	RXN66-332,ARYLESTERASE-RXN,ARYLDIALKYLPHOSPHATASE-RXN,AMINOPARATHION-PHOSPHATASE-RXN,ARYLDIALKYL-PHOSPHATASE-RXN						RXN66-332														
TPSB2	P20231	['TPSB2', 'TPS2']	['TPSAB1', 'TPS1', 'TPS2', 'TPSB1']			3.4.21.59-RXN	3.4.21.59-RXN																				
AOAH	P28039	['AOAH']	['AOAH']			3.1.1.77-RXN	3.1.1.77-RXN																				
ELK4	P28324	['ELK4', 'SAP1']	['SCLT1', 'SAP1', 'PTPRH']			TRANS-RXN66-566,PROTEIN-TYROSINE-PHOSPHATASE-RXN	TRANS-RXN66-566,PROTEIN-TYROSINE-PHOSPHATASE-RXN											TRANS-RXN66-566									
MAK	P20794	['MAK']	['MAK']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
SERPINA2	P20848	['SERPINA2', 'ARGS', 'ATR', 'PIL', 'SERPINA2P']	['MMAB', 'ATR', 'FRP1']	,cobalamin salvage (eukaryotic)	,PWY-7974	RXN-19364,RXN-19349,PROTEIN-KINASE-RXN,RXN-19369,COBALADENOSYLTRANS-RXN	RXN-19364,RXN-19349,PROTEIN-KINASE-RXN,RXN-19369,COBALADENOSYLTRANS-RXN			RXN-19369						RXN-19349											
TGM2	P21980	['TGM2']	['TGM2', 'TGC']			2.3.2.13-RXN	2.3.2.13-RXN																				
FUT4	P22083	['FUT4', 'ELFT', 'FCT3A']	['FUT4', 'ELFT', 'FCT3A']			2.4.1.214-RXN	2.4.1.214-RXN																				
CCNO	P22674	['CCNO']	['CCNO', 'UDG2', 'UNG2']			RXN0-2584	RXN0-2584																				
PTPRE	P23469	['PTPRE']	['PTPRE', 'R-PTP-EPSILON', 'HPTPE', 'PTPE']			PROTEIN-TYROSINE-PHOSPHATASE-RXN	PROTEIN-TYROSINE-PHOSPHATASE-RXN																				
PTPRG	P23470	['PTPRG', 'PTPG']	['PTPRG', 'PTPG']			PROTEIN-TYROSINE-PHOSPHATASE-RXN	PROTEIN-TYROSINE-PHOSPHATASE-RXN																				
PRPH2	P23942	['PRPH2', 'PRPH', 'RDS', 'TSPAN22']	['TST', 'MGC19578', 'RDS']	sulfide oxidation IV (metazoa),thiosulfate disproportionation III (rhodanese)	PWY-7927,PWY-5350	RXN-19040,THIOSULFATE-SULFURTRANSFERASE-RXN	RXN-19040,THIOSULFATE-SULFURTRANSFERASE-RXN									RXN-19040											
COX7A1	P24310	['COX7A1', 'COX7AH']	['COX7AH', 'COX7AM', 'COX7A1', 'COX7A']			CYTOCHROME-C-OXIDASE-RXN	CYTOCHROME-C-OXIDASE-RXN																				
ACP1	P24666	['ACP1']	['ACP1']			ACID-PHOSPHATASE-RXN,PROTEIN-TYROSINE-PHOSPHATASE-RXN	ACID-PHOSPHATASE-RXN,PROTEIN-TYROSINE-PHOSPHATASE-RXN																				
DNASE1	P24855	['DNASE1', 'DNL1', 'DRNI']	['DNASE1', 'DNL1', 'DRNI']			3.1.21.1-RXN	3.1.21.1-RXN																				
S100A4	P26447	['S100A4', 'CAPL', 'MTS1']	['CDKN2A', 'CDKN2', 'MTS1']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
FKBP2	P26885	['FKBP2', 'FKBP13']	['FKBP2', 'FKBP13']			PEPTIDYLPROLYL-ISOMERASE-RXN	PEPTIDYLPROLYL-ISOMERASE-RXN																				
PTPN7	P35236	['PTPN7']	['PTPN7', 'LC-PTP', 'BPTP-4', 'PTPNI', 'HEPTP', 'LPTP']			PROTEIN-TYROSINE-PHOSPHATASE-RXN	PROTEIN-TYROSINE-PHOSPHATASE-RXN																				
POU1F1	P28069	['POU1F1', 'GHF1', 'PIT1']	['SLC20A1', 'GLVR1', 'PIT1']			sodium coupled phosphate plasma membrane transport	TRANS-RXN66-1159											TRANS-RXN66-1159									
PTPRM	P28827	['PTPRM', 'PTPRL1']	['hR-PTPu', 'RPTPU', 'PTPRM', 'R-PTP-MU', 'PTPRL1', 'RPTPM']			PROTEIN-TYROSINE-PHOSPHATASE-RXN	PROTEIN-TYROSINE-PHOSPHATASE-RXN																				
LAP3	P28838	['LAP3', 'LAPEP', 'PEPS']	['LAP3', 'LAPEP', 'PEPS']			3.4.11.1-RXN,3.4.11.5-RXN	3.4.11.1-RXN,3.4.11.5-RXN																				
LTK	P29376	['LTK', 'TYK1']	['LTK', 'TYK1']			2.7.10.1-RXN	2.7.10.1-RXN																				
DDT	P30046	['DDT']	['DDT']			4.1.1.84-RXN	4.1.1.84-RXN																				
PPIF	P30405	['PPIF', 'CYP3']	['PPIF', 'CYP3']			PEPTIDYLPROLYL-ISOMERASE-RXN	PEPTIDYLPROLYL-ISOMERASE-RXN																				
FMO4	P31512	['FMO4', 'FMO2']	['FMO4', 'FMO2']	nicotine degradation IV	PWY66-201	RXN66-81,1.14.13.8-RXN	RXN66-81,1.14.13.8-RXN												1.14.13.8-RXN								
NAA10	P41227	['NAA10', 'ARD1', 'ARD1A', 'TE2']	['NAA10', 'ARD1', 'TE2', 'ARD1A']			RXN-17864,RXN-17863,RXN-17862,RXN-17861,RXN-17860,RXN-17859	RXN-17864,RXN-17863,RXN-17862,RXN-17861,RXN-17860,RXN-17859									RXN-17864,RXN-17863,RXN-17862,RXN-17861,RXN-17860,RXN-17859											
TTK	P33981	['TTK', 'MPS1', 'MPS1L1']	['TTK', 'MPS1L1']			2.7.11.18-RXN,2.7.11.2-RXN,2.7.12.1-RXN	2.7.11.18-RXN,2.7.11.2-RXN,2.7.12.1-RXN																				
RNASE4	P34096	['RNASE4', 'RNS4']	['RNASE4', 'RNS4']			3.1.27.5-RXN	3.1.27.5-RXN																				
USP6	P35125	['USP6', 'HRP1', 'TRE2']	['USP6', 'HRP1', 'TRE2']			3.4.19.12-RXN	3.4.19.12-RXN																				
CA8	P35219	['CA8', 'CALS']	['CA8', 'CALS']			RXN0-5224,CARBODEHYDRAT-RXN	RXN0-5224,CARBODEHYDRAT-RXN																				
TIE1	P35590	['TIE1', 'TIE']	['TIE1', 'TIE']			2.7.10.1-RXN	2.7.10.1-RXN																				
TRIM23	P36406	['TRIM23', 'ARD1', 'ARFD1', 'RNF46']	['NAA10', 'ARD1', 'TE2', 'ARD1A']			RXN-17864,RXN-17863,RXN-17862,RXN-17861,RXN-17860,RXN-17859	RXN-17864,RXN-17863,RXN-17862,RXN-17861,RXN-17860,RXN-17859									RXN-17864,RXN-17863,RXN-17862,RXN-17861,RXN-17860,RXN-17859											
ARR3	P36575	['ARR3', 'ARRX', 'CAR']	['CXADR', 'CAR']			RXN-7679	RXN-7679																				
PTPN9	P43378	['PTPN9']	['PTPN9', 'MEG2']			PROTEIN-TYROSINE-PHOSPHATASE-RXN	PROTEIN-TYROSINE-PHOSPHATASE-RXN																				
LONP1	P36776	['LONP1', 'PRSS15']	['LONP1', 'PRSS15']			3.4.21.53-RXN	3.4.21.53-RXN																				
NBL1	P41271	['NBL1', 'DAN', 'DAND1']	['PARN', 'DAN']			3.1.13.4-RXN	3.1.13.4-RXN																				
ELK3	P41970	['ELK3', 'NET', 'SAP2']	['ELK', 'EPHB1', 'Hek6', 'EPHT2', 'NET']			2.7.10.1-RXN	2.7.10.1-RXN																				
ASIP	P42127	['ASIP', 'AGTI', 'AGTIL', 'ASP']	['ASPA', 'ACY2', 'ASP']			RXN-13680,ASPARTOACYLASE-RXN	RXN-13680,ASPARTOACYLASE-RXN																				
DPP6	P42658	['DPP6']	['DPP6', 'DPPX']			3.4.14.1-RXN,RXN-11200	3.4.14.1-RXN,RXN-11200																				
PPIC	P45877	['PPIC', 'CYPC']	['PPIC', 'CYPC']			PEPTIDYLPROLYL-ISOMERASE-RXN	PEPTIDYLPROLYL-ISOMERASE-RXN																				
RECQL	P46063	['RECQL', 'RECQ1', 'RECQL1']	['RECQL', 'RECQL1']			RXN0-4261	RXN0-4261																				
GPR3	P46089	['GPR3', 'ACCA']	['ACC1', 'ACAC', 'ACACA', 'ACCA']	fatty acid biosynthesis initiation,biotin-carboxyl carrier protein assembly	PWY-5966-1,PWY0-1264	RXN0-5055,ACETYL-COA-CARBOXYLTRANSFER-RXN,BIOTIN-CARBOXYL-RXN	RXN0-5055,ACETYL-COA-CARBOXYLTRANSFER-RXN,BIOTIN-CARBOXYL-RXN																			ACETYL-COA-CARBOXYLTRANSFER-RXN	
UTRN	P46939	['UTRN', 'DMDL', 'DRP1']	['DNM1L', 'DLP1', 'DRP1']			RXN0-5462	RXN0-5462																				
CPA2	P48052	['CPA2']	['CPA2']			3.4.17.15-RXN	3.4.17.15-RXN																				
PREP	P48147	['PREP', 'PEP']	['PREP', 'PEP']			3.4.21.26-RXN	3.4.21.26-RXN																				
MARCKSL1	P49006	['MARCKSL1', 'MLP', 'MRP']	['ABCC1', 'MRP', 'MRP1']			RXN-19605	RXN-19605																				RXN-19605
TGM4	P49221	['TGM4']	['TGM4', 'TGP']			2.3.2.13-RXN	2.3.2.13-RXN																				
FMO5	P49326	['FMO5']	['FMO5']	nicotine degradation IV	PWY66-201	RXN66-81,1.14.13.8-RXN	RXN66-81,1.14.13.8-RXN												1.14.13.8-RXN								
CLK1	P49759	['CLK1', 'CLK']	['CLK1', 'STY', 'CLK']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
CLK2	P49760	['CLK2']	['CLK2', 'clk2']			2.7.11.18-RXN,2.7.11.2-RXN,2.7.12.1-RXN	2.7.11.18-RXN,2.7.11.2-RXN,2.7.12.1-RXN																				
CLK3	P49761	['CLK3']	['CLK3', 'clk3']			2.7.11.18-RXN,2.7.11.2-RXN,2.7.12.1-RXN	2.7.11.18-RXN,2.7.11.2-RXN,2.7.12.1-RXN																				
HINT1	P49773	['HINT1', 'HINT', 'PKCI1', 'PRKCNH1']	['HINT1', 'HINT', 'PKCI1', 'PRKCNH1']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
FHIT	P49789	['FHIT']	['FHIT', 'FRA3B', 'AP3Aase']			BIS5-ADENOSYL-TRIPHOSPHATASE-RXN	BIS5-ADENOSYL-TRIPHOSPHATASE-RXN																				
STK19	P49842	['STK19', 'G11', 'RP1']	['STK19', 'G11', 'RP1']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
GZMK	P49863	['GZMK', 'TRYP2']	['PRSS2', 'TRY2', 'TRYP2']			3.4.21.4-RXN	3.4.21.4-RXN																				
SEPHS1	P49903	['SEPHS1', 'SELD', 'SPS', 'SPS1']	['SEPHS1', 'SELD', 'SPS', 'SPS1']	selenocysteine biosynthesis	PWY-6281	2.7.9.3-RXN	2.7.9.3-RXN																				
MEOX2	P50222	['MEOX2', 'GAX', 'MOX2']	['NOX3', 'MOX2']			RXN0-271,RXN-10745	RXN0-271,RXN-10745																				
PDE6C	P51160	['PDE6C', 'PDEA2']	['PDE6C', 'PDEA2']			35-CYCLIC-GMP-PHOSPHODIESTERASE-RXN	35-CYCLIC-GMP-PHOSPHODIESTERASE-RXN																				
TKTL1	P51854	['TKTL1', 'TKR', 'TKT2']	['TKTL1', 'TKR']			1TRANSKETO-RXN,2TRANSKETO-RXN	1TRANSKETO-RXN,2TRANSKETO-RXN																				
CASP5	P51878	['CASP5', 'ICH3']	['CASP5', 'ICH3']			3.4.22.58-RXN	3.4.22.58-RXN																				
PTPN5	P54829	['PTPN5']	['PTPN5', 'HS03338', 'FLJ14427', 'STEP', 'PTPSTEP']			PROTEIN-TYROSINE-PHOSPHATASE-RXN	PROTEIN-TYROSINE-PHOSPHATASE-RXN																				
NEK3	P51956	['NEK3']	['NEK3', 'MGC29949', 'HSPK36']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
NEK4	P51957	['NEK4', 'STK2']	['NEK4', 'STK2']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
FUT6	P51993	['FUT6', 'FCT3A']	['FUT6', 'FCT3A']	biosynthesis of ABH and Lewis epitopes from type 2 precursor disaccharide	PWY-7831	GALACTOSIDE-3-FUCOSYLTRANSFERASE-RXN,RXN-18254	GALACTOSIDE-3-FUCOSYLTRANSFERASE-RXN,RXN-18254															GALACTOSIDE-3-FUCOSYLTRANSFERASE-RXN					RXN-18254
PGGT1B	P53609	['PGGT1B']	['PGGT1B', 'GGTI', 'BGGI']			RXN-3701	RXN-3701																				
PRMT2	P55345	['PRMT2', 'HMT1', 'HRMT1L1']	['PRMT2', 'HMT1', 'HRMT1L1']			2.1.1.125-RXN	2.1.1.125-RXN																				
HCCS	P53701	['HCCS', 'CCHL']	['HCCS', 'CCHL']			HOLOCYTOCHROME-C-SYNTHASE-RXN	HOLOCYTOCHROME-C-SYNTHASE-RXN																				
POLG	P54098	['POLG', 'MDP1', 'POLG1', 'POLGA']	['POLG', 'MDP1', 'POLG1', 'POLGA']			RXN0-4961,DNA-DIRECTED-DNA-POLYMERASE-RXN	RXN0-4961,DNA-DIRECTED-DNA-POLYMERASE-RXN																				
HAP1	P54257	['HAP1', 'HAP2', 'HLP1']	['APEX1', 'APE', 'APEX', 'APX', 'HAP1', 'REF1']			RXN0-2601,4.2.99.18-RXN	RXN0-2601,4.2.99.18-RXN																				
ADPRH	P54922	['ADPRH', 'ARH1']	['ADPRH', 'ARH1']			RXN-8732,ADP-RIBOSYLARGININE-HYDROLASE-RXN	RXN-8732,ADP-RIBOSYLARGININE-HYDROLASE-RXN																				
WDR4	P57081	['WDR4']	['WDR4']			TRNA-GUANINE-N7--METHYLTRANSFERASE-RXN	TRNA-GUANINE-N7--METHYLTRANSFERASE-RXN																				
NME5	P56597	['NME5']	['NME5', 'NM23-H5', 'NM23H5']	CMP phosphorylation,adenosine deoxyribonucleotides de novo biosynthesis,superpathway of pyrimidine deoxyribonucleoside salvage,pyrimidine deoxyribonucleotide phosphorylation,pyrimidine deoxyribonucleotides biosynthesis from CTP,purine deoxyribonucleosides salvage,guanosine deoxyribonucleotides de novo biosynthesis,pyrimidine deoxyribonucleotides de novo biosynthesis,superpathway of purine nucleotide salvage,purine nucleotides de novo biosynthesis,guanosine nucleotides de novo biosynthesis,guanosine ribonucleotides de novo biosynthesis,superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis,superpathway of pyrimidine ribonucleotides de novo biosynthesis,UTP and CTP de novo biosynthesis	PWY-7205,PWY-7227,PWY-7200,PWY-7197,PWY-7210,PWY-7224,PWY-7226,PWY-7184,PWY66-409,PWY-841,PWY-7228,PWY-7221,PWY-7211,PWY0-162,PWY-7176	DTDPKIN-RXN,NUCLEOSIDE-DIP-KIN-RXN,CDPKIN-RXN,DADPKIN-RXN,DCDPKIN-RXN,DGDPKIN-RXN,DUDPKIN-RXN,GDPKIN-RXN,UDPKIN-RXN	DTDPKIN-RXN,NUCLEOSIDE-DIP-KIN-RXN,CDPKIN-RXN,DADPKIN-RXN,DCDPKIN-RXN,DGDPKIN-RXN,DUDPKIN-RXN,GDPKIN-RXN,UDPKIN-RXN																				
RP1	P56715	['RP1', 'ORP1']	['STK19', 'G11', 'RP1']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
HUNK	P57058	['HUNK', 'MAKV']	['HUNK', 'MAKV']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
RIPK4	P57078	['RIPK4', 'ANKRD3', 'DIK']	['RIPK4', 'ANKRD3', 'DIK']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
RHBDL3	P58872	['RHBDL3', 'RHBDL4', 'VRHO']	['RHBDL3', 'RHBDL4', 'VRHO']			3.4.21.105-RXN	3.4.21.105-RXN																				
PLP1	P60201	['PLP1', 'PLP']	['PDXP', 'PLPP', 'PLP']			RXN-14046,3.1.3.74-RXN	RXN-14046,3.1.3.74-RXN				3.1.3.74-RXN																
NANOS2	P60321	['NANOS2', 'NOS2']	['NOS2', 'NOS2A']	citrulline-nitric oxide cycle	PWY-4983	NITRIC-OXIDE-SYNTHASE-RXN,RXN-13564,RXN-13565	NITRIC-OXIDE-SYNTHASE-RXN,RXN-13564,RXN-13565					NITRIC-OXIDE-SYNTHASE-RXN															
NANOS3	P60323	['NANOS3', 'NOS3']	['NOS3', 'ECNOS', 'eNOS']	citrulline-nitric oxide cycle	PWY-4983	NITRIC-OXIDE-SYNTHASE-RXN,RXN-13564,RXN-13565	NITRIC-OXIDE-SYNTHASE-RXN,RXN-13564,RXN-13565					NITRIC-OXIDE-SYNTHASE-RXN															
NAA20	P61599	['NAA20', 'NAT5']	['NAA20', 'dJ1002M8.1', 'ard1', 'NAT5']	N-end rule pathway I (eukaryotic)	PWY-7799	RXN-17853,RXN-17852,RXN-17851,RXN-17850	RXN-17853,RXN-17852,RXN-17851,RXN-17850															RXN-17853,RXN-17852,RXN-17851,RXN-17850					
ERVK-21	P61565	['ERVK-21']	['ERVK-21']			RXN-11145	RXN-11145																				
ERVK-21	P61571	['ERVK-21']	['ERVK-21']			RXN-11145	RXN-11145																				
USP46	P62068	['USP46']	['USP46']			3.4.19.12-RXN	3.4.19.12-RXN																				
ERVK-21	P62683	['ERVK-21']	['ERVK-21']			RXN-11145	RXN-11145																				
ERVK-21	P63119	['ERVK-21']	['ERVK-21']			RXN-11145	RXN-11145																				
SRPK2	P78362	['SRPK2']	['SRPK2', 'SFRSK2']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
MAP3K9	P80192	['MAP3K9', 'MLK1', 'PRKE1']	['MAP3K9', 'HS11962', 'MLK1', 'PRKE1']			2.7.11.25-RXN	2.7.11.25-RXN																				
RBP5	P82980	['RBP5']	['RBP5', 'CRBP-III', 'CRBPIII', 'CRBP3']	the visual cycle I (vertebrates),retinoate biosynthesis II,retinoate biosynthesis I,retinol biosynthesis	PWY-6861,PWY-6875,PWY-6872,PWY-6857	RXN-12548	RXN-12548																				
HTRA4	P83105	['HTRA4']	['HTRA4']			3.4.21.53-RXN,3.4.21.92-RXN,RXN0-3182,RXN0-5103	3.4.21.53-RXN,3.4.21.92-RXN,RXN0-3182,RXN0-5103																				
HTRA3	P83110	['HTRA3', 'PRSP']	['HTRA3', 'PRSP']			3.4.21.53-RXN,3.4.21.92-RXN,RXN0-3182,RXN0-5103	3.4.21.53-RXN,3.4.21.92-RXN,RXN0-3182,RXN0-5103																				
TMPRSS15	P98073	['TMPRSS15', 'ENTK', 'PRSS7']	['PRSS7', 'ENTK']			3.4.21.53-RXN,3.4.21.92-RXN,RXN0-3182,RXN0-5103,3.4.21.9-RXN	3.4.21.53-RXN,3.4.21.92-RXN,RXN0-3182,RXN0-5103,3.4.21.9-RXN																				
CDK3	Q00526	['CDK3', 'CDKN3']	['CDK3']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
CDKL1	Q00532	['CDKL1']	['CDKL1', 'KKIALRE', 'p42']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
CDK16	Q00536	['CDK16', 'PCTAIRE1', 'PCTK1']	['PCTK1', 'PCTGAIRE', 'PCTAIRE1']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
CDK17	Q00537	['CDK17', 'PCTAIRE2', 'PCTK2']	['PCTK2', 'PCTAIRE2']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
FKBP3	Q00688	['FKBP3', 'FKBP25']	['FKBP3', 'FKBP25']			PEPTIDYLPROLYL-ISOMERASE-RXN	PEPTIDYLPROLYL-ISOMERASE-RXN																				
GALK2	Q01415	['GALK2', 'GK2']	['GALK2', 'GK2']			RXN-13547,2.7.1.157-RXN	RXN-13547,2.7.1.157-RXN																				
MYT1	Q01538	['MYT1', 'KIAA0835', 'KIAA1050', 'MTF1', 'MYTI', 'PLPB1']	['PKMYT1', 'MYT1']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
ACVR1	Q04771	['ACVR1', 'ACVRLK2']	['ACVR1', 'ACVRLK2']			2.7.11.30-RXN	2.7.11.30-RXN																				
COX6A2	Q02221	['COX6A2', 'COX6A', 'COX6AH']	['COX6A2', 'COX6A', 'COX6AH']			CYTOCHROME-C-OXIDASE-RXN	CYTOCHROME-C-OXIDASE-RXN																				
OC90	Q02509	['OC90', 'PLA2L']	['OC90', 'PLA2L']	phospholipases	LIPASYN-PWY	RXN0-6725,PHOSPHATIDYLINOSITOL-DEACYLASE-RXN,PHOSPHOLIPASE-A2-RXN	RXN0-6725,PHOSPHATIDYLINOSITOL-DEACYLASE-RXN,PHOSPHOLIPASE-A2-RXN							PHOSPHOLIPASE-A2-RXN	RXN0-6725												
MAP3K10	Q02779	['MAP3K10', 'MLK2', 'MST']	['MAP3K10', 'MLK2', 'MST']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
TNK2	Q07912	['TNK2', 'ACK1']	['TNK2', 'ACK1']			2.7.10.1-RXN	2.7.10.1-RXN																				
CLC	Q05315	['CLC', 'LGALS10', 'LGALS10A']	['CLC', 'LPPL_HUMAN']			LYSOPHOSPHOLIPASE-RXN	LYSOPHOSPHOLIPASE-RXN																				
TYRO3	Q06418	['TYRO3', 'BYK', 'DTK', 'RSE', 'SKY', 'TIF']	['TYRO3', 'BYK', 'DTK', 'RSE', 'SKY']			2.7.10.1-RXN	2.7.10.1-RXN																				
GCNT2	Q06430	['GCNT2', 'GCNT5', 'II', 'NACGT1']	['GCNT2', 'GCNT5', 'II', 'NACGT1']	terminal O-glycans residues modification (via type 2 precursor disaccharide),i antigen and I antigen biosynthesis	PWY-7434,PWY-7837	2.4.1.150-RXN	2.4.1.150-RXN																		2.4.1.150-RXN		
CDK18	Q07002	['CDK18', 'PCTAIRE3', 'PCTK3']	['PCTK3', 'PCTAIRE', 'PCTAIRE3']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
TGM3	Q08188	['TGM3']	['TGM3', 'TGX', 'TGE']			2.3.2.13-RXN	2.3.2.13-RXN																				
CRYZ	Q08257	['CRYZ']	['CRYZ']			NQOR-RXN,QOR-RXN	NQOR-RXN,QOR-RXN																				
MAP4K2	Q12851	['MAP4K2', 'GCK', 'RAB8IP']	['MAP4K2', 'GCK', 'RAB8IP']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
FUT2	Q10981	['FUT2', 'SEC2']	['FUT2', 'SEC2']	lacto-series glycosphingolipids biosynthesis,super pathway of glycosphingolipids biosynthesis,globo-series glycosphingolipids biosynthesis,biosynthesis of ABH and Lewis epitopes from type 1 precursor disaccharide	PWY-7839,PWY-7835,PWY-7838,PWY-7832	GALACTOSIDE-2-L-FUCOSYLTRANSFERASE-RXN,RXN-18300,RXN-18234	GALACTOSIDE-2-L-FUCOSYLTRANSFERASE-RXN,RXN-18300,RXN-18234		GALACTOSIDE-2-L-FUCOSYLTRANSFERASE-RXN															RXN-18300			RXN-18234
FUT5	Q11128	['FUT5']	['FUT5', 'FUC-TV']	biosynthesis of ABH and Lewis epitopes from type 2 precursor disaccharide	PWY-7831	RXN-18254	RXN-18254																				RXN-18254
ECH1	Q13011	['ECH1']	['ECH1', 'HPXEL']			RXN-12520	RXN-12520																				
FUT7	Q11130	['FUT7']	['FUT7']			2.4.1.214-RXN	2.4.1.214-RXN																				
PRDM2	Q13029	['PRDM2', 'KMT8', 'RIZ']	['PRDM2', 'KMT8', 'RIZ']			HISTONE-LYSINE-N-METHYLTRANSFERASE-RXN	HISTONE-LYSINE-N-METHYLTRANSFERASE-RXN																				
TWF1	Q12792	['TWF1', 'PTK9']	['TWF1', 'PTK9']			2.7.10.1-RXN	2.7.10.1-RXN																				
MAP3K12	Q12852	['MAP3K12', 'ZPK']	['MAP3K12', 'ZPK']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
PPP1R8	Q12972	['PPP1R8', 'ARD1', 'NIPP1']	['NAA10', 'ARD1', 'TE2', 'ARD1A']			RXN-17864,RXN-17863,RXN-17862,RXN-17861,RXN-17860,RXN-17859	RXN-17864,RXN-17863,RXN-17862,RXN-17861,RXN-17860,RXN-17859									RXN-17864,RXN-17863,RXN-17862,RXN-17861,RXN-17860,RXN-17859											
